image,split,source_video,source_frame,detection_index,obb_class,obb_conf,obb_cx,obb_cy,obb_w,obb_h,obb_rotation,crop_width,crop_height
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00000.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,0,0,0,0.916445,190.181,872.142,103.734,331.197,0.970361,129,411
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00001.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,0,1,0,0.905850,130.002,712.680,103.056,351.824,0.158520,128,436
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00002.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,0,2,0,0.893112,512.583,831.153,371.020,95.834,0.649894,460,119
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00003.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,0,3,0,0.889846,534.839,413.305,117.129,377.704,0.665828,145,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00004.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,0,4,0,0.523879,321.414,882.918,97.109,295.832,1.422627,120,367
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00005.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,120,0,0,0.917407,189.576,872.859,103.406,331.148,0.977589,128,411
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00006.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,120,1,0,0.916739,518.676,835.721,369.793,95.615,0.633738,459,119
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00007.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,120,2,0,0.912526,132.457,712.427,99.905,348.068,0.158833,124,432
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00008.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,120,3,0,0.891509,540.163,407.648,112.503,377.567,0.667311,140,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00009.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,240,0,0,0.914901,189.377,872.983,103.360,331.374,0.982080,128,411
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00010.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,240,1,0,0.914337,519.051,835.737,372.057,96.055,0.631856,461,119
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00011.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,240,2,0,0.912191,134.402,712.763,100.951,350.437,0.157557,125,435
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00012.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,240,3,0,0.889859,535.937,414.112,115.652,377.587,0.663383,143,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00013.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,360,0,0,0.922718,189.755,873.354,103.119,332.018,0.987481,128,412
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00014.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,360,1,0,0.914687,519.476,835.853,372.410,96.005,0.631431,462,119
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00015.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,360,2,0,0.912195,136.378,712.969,101.226,348.565,0.147021,126,432
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00016.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,360,3,0,0.892083,540.549,407.928,112.494,377.575,0.670902,139,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00017.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,480,0,0,0.915344,189.620,873.302,103.563,331.814,0.991054,128,411
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00018.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,480,1,0,0.914087,519.803,835.789,371.804,95.685,0.626520,461,119
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00019.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,480,2,0,0.911983,134.959,713.495,100.802,351.141,0.163594,125,435
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00020.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,480,3,0,0.891811,540.512,407.917,112.191,377.564,0.668373,139,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00021.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,600,0,0,0.928695,182.218,872.847,97.154,313.855,1.001424,120,389
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00022.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,600,1,0,0.921784,144.912,700.202,101.109,364.808,0.151152,125,452
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00023.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,600,2,0,0.899543,517.061,832.250,366.375,92.584,0.607077,454,115
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00024.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,600,3,0,0.894232,540.368,407.794,111.752,377.548,0.672333,139,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00025.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,600,4,0,0.858252,313.012,881.097,99.023,319.119,1.425621,123,396
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00026.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,720,0,0,0.920695,144.710,701.383,101.417,367.154,0.150825,126,455
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00027.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,720,1,0,0.912863,528.375,835.102,370.183,95.977,0.625246,459,119
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00028.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,720,2,0,0.909445,182.978,875.059,97.801,321.264,1.022393,121,398
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00029.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,720,3,0,0.894287,540.559,407.942,112.256,377.593,0.665829,139,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00030.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,720,4,0,0.875040,329.596,877.816,99.883,325.689,1.426711,124,404
